parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone
canmx,log,factor,1,0.5,1.5,swat,1,-1,1,,,
ch_k2,log,factor,1,0.5,1.5,swat,1,-1,1,,,
ch_n2,log,factor,1,0.5,1.5,swat,1,-1,1,,,
ch_s2,log,factor,1,0.5,1.5,swat,1,-1,1,,,
cn2,log,factor,1,0.5,1.5,swat,1,-1,1,,,
epco,log,factor,1,0.5,1.5,swat,1,-1,1,,,
esco,log,factor,1,0.5,1.5,swat,1,-1,1,,,
flowmin,log,factor,1,0.5,1.5,swat,1,-1,1,,,
hk0_i:10_j:10_zone:1,log,factor,5,0.0005,500,hk,1,0,1,10,10,1
hk0_i:10_j:30_zone:1,log,factor,1.95,0.000195,195,hk,1,0,1,10,30,1
hk0_i:10_j:50_zone:1,log,factor,0.5,0.00005,50,hk,1,0,1,10,50,1
hk0_i:30_j:30_zone:1,log,factor,2.5,0.00025,250,hk,1,0,1,30,30,1
hk0_i:30_j:50_zone:1,log,factor,6.5,0.00065,650,hk,1,0,1,30,50,1
hk0_i:50_j:30_zone:1,log,factor,1.5,0.00015,150,hk,1,0,1,50,30,1
hk0_i:50_j:50_zone:1,log,factor,0.68,0.000068,68,hk,1,0,1,50,50,1
hk0_i:70_j:50_zone:1,log,factor,2.89,0.000289,289,hk,1,0,1,70,50,1
hk0_i:90_j:50_zone:1,log,factor,1.65,0.000165,165,hk,1,0,1,90,50,1
lat_ttime,log,factor,1,0.5,1.5,swat,1,-1,1,,,
ov_n,log,factor,1,0.5,1.5,swat,1,-1,1,,,
percop,log,factor,1,0.5,1.5,swat,1,-1,1,,,
prf,log,factor,1,0.5,1.5,swat,1,-1,1,,,
sol_awc,log,factor,1,0.5,1.5,swat,1,-1,1,,,
sol_bd,log,factor,1,0.5,1.5,swat,1,-1,1,,,
sol_k,log,factor,1,0.5,1.5,swat,1,-1,1,,,
sol_z,log,factor,1,0.5,1.5,swat,1,-1,1,,,
ss0_i:10_j:10_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,10,10,1
ss0_i:10_j:30_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,10,30,1
ss0_i:10_j:50_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,10,50,1
ss0_i:30_j:30_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,30,30,1
ss0_i:30_j:50_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,30,50,1
ss0_i:50_j:30_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,50,30,1
ss0_i:50_j:50_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,50,50,1
ss0_i:70_j:50_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,70,50,1
ss0_i:90_j:50_zone:1,log,factor,3.30E-06,3.00E-07,3.40E-05,ss,1,0,1,90,50,1
surlag,log,factor,1,0.5,1.5,swat,1,-1,1,,,
sy0_i:10_j:10_zone:1,log,factor,0.2,0.0001,0.6,sy,1,0,1,10,10,1
sy0_i:10_j:30_zone:1,log,factor,0.35,0.0001,0.6,sy,1,0,1,10,30,1
sy0_i:10_j:50_zone:1,log,factor,0.45,0.0001,0.6,sy,1,0,1,10,50,1
sy0_i:30_j:30_zone:1,log,factor,0.36,0.0001,0.6,sy,1,0,1,30,30,1
sy0_i:30_j:50_zone:1,log,factor,0.17,0.0001,0.6,sy,1,0,1,30,50,1
sy0_i:50_j:30_zone:1,log,factor,0.08,0.0001,0.6,sy,1,0,1,50,30,1
sy0_i:50_j:50_zone:1,log,factor,0.29,0.0001,0.6,sy,1,0,1,50,50,1
sy0_i:70_j:50_zone:1,log,factor,0.45,0.0001,0.6,sy,1,0,1,70,50,1
sy0_i:90_j:50_zone:1,log,factor,0.16,0.0001,0.6,sy,1,0,1,90,50,1
