name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
canmx,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
ch_k2,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
ch_n2,0,0.11928,-0.238561,0.238561,0.000252714,0.0845687,-0.168885,0.16939
ch_s2,0,0.11928,-0.238561,0.238561,0.000229456,0.106906,-0.213583,0.214042
cn2,0,0.11928,-0.238561,0.238561,1.55811e-06,8.36071e-05,-0.000165656,0.000168772
epco,0,0.11928,-0.238561,0.238561,0.00022714,0.0931476,-0.186068,0.186522
esco,0,0.11928,-0.238561,0.238561,-1.75988e-05,0.026722,-0.0534617,0.0534265
flowmin,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
hk0_i:10_j:10_zone:1,0.69897,1.5,-2.30103,3.69897,0.69897,1.5,-2.30103,3.69897
hk0_i:10_j:30_zone:1,0.290035,1.5,-2.70997,3.29003,0.290035,1.5,-2.70997,3.29003
hk0_i:10_j:50_zone:1,-0.30103,1.5,-3.30103,2.69897,-0.30103,1.5,-3.30103,2.69897
hk0_i:30_j:30_zone:1,0.39794,1.5,-2.60206,3.39794,0.39794,1.5,-2.60206,3.39794
hk0_i:30_j:50_zone:1,0.812913,1.5,-2.18709,3.81291,0.812913,1.5,-2.18709,3.81291
hk0_i:50_j:30_zone:1,0.176091,1.5,-2.82391,3.17609,0.176091,1.5,-2.82391,3.17609
hk0_i:50_j:50_zone:1,-0.167491,1.5,-3.16749,2.83251,-0.167491,1.5,-3.16749,2.83251
hk0_i:70_j:50_zone:1,0.460898,1.5,-2.5391,3.4609,0.460898,1.5,-2.5391,3.4609
hk0_i:90_j:50_zone:1,0.217484,1.5,-2.78252,3.21748,0.217484,1.5,-2.78252,3.21748
lat_ttime,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
ov_n,0,0.11928,-0.238561,0.238561,0.0620843,0.044482,-0.0268797,0.151048
percop,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
prf,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
sol_awc,0,0.11928,-0.238561,0.238561,1.87397e-05,0.000983429,-0.00194812,0.0019856
sol_bd,0,0.11928,-0.238561,0.238561,5.20962e-06,0.0405143,-0.0810233,0.0810338
sol_k,0,0.11928,-0.238561,0.238561,0.0310333,0.0987508,-0.166468,0.228535
sol_z,0,0.11928,-0.238561,0.238561,1.52423e-05,0.000580537,-0.00114583,0.00117632
ss0_i:10_j:10_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:10_j:30_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:10_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:30_j:30_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:30_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:50_j:30_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:50_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:70_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
ss0_i:90_j:50_zone:1,-5.48149,0.513589,-6.50866,-4.45431,-5.44009,0.491468,-6.42303,-4.45716
surlag,0,0.11928,-0.238561,0.238561,0,0.11928,-0.238561,0.238561
sy0_i:10_j:10_zone:1,-0.69897,0.944538,-2.58805,1.19011,-0.69897,0.944538,-2.58805,1.19011
sy0_i:10_j:30_zone:1,-0.455932,0.944538,-2.34501,1.43314,-0.455932,0.944538,-2.34501,1.43314
sy0_i:10_j:50_zone:1,-0.346787,0.944538,-2.23586,1.54229,-0.346787,0.944538,-2.23586,1.54229
sy0_i:30_j:30_zone:1,-0.443697,0.944538,-2.33277,1.44538,-0.443697,0.944538,-2.33277,1.44538
sy0_i:30_j:50_zone:1,-0.769551,0.944538,-2.65863,1.11952,-0.769551,0.944538,-2.65863,1.11952
sy0_i:50_j:30_zone:1,-1.09691,0.944538,-2.98599,0.792166,-1.09691,0.944538,-2.98599,0.792166
sy0_i:50_j:50_zone:1,-0.537602,0.944538,-2.42668,1.35147,-0.537602,0.944538,-2.42668,1.35147
sy0_i:70_j:50_zone:1,-0.346787,0.944538,-2.23586,1.54229,-0.346787,0.944538,-2.23586,1.54229
sy0_i:90_j:50_zone:1,-0.79588,0.944538,-2.68496,1.0932,-0.79588,0.944538,-2.68496,1.0932
