date,g_5163,g_2444,g_2808
1/1/2008,-12.7753745,-56.5339865,-43.3215415
1/2/2008,-12.81426825,-56.732551,-43.4352065
1/3/2008,-12.84798675,-56.848629,-43.439207
1/4/2008,-12.85490825,-56.931179,-43.416728
1/5/2008,-12.864338,-57.026937,-43.430952
1/6/2008,-12.86487775,-57.1448565,-43.477688
1/7/2008,-12.94431625,-57.2681735,-43.5298215
1/8/2008,-12.986893,-57.4389885,-43.638978
1/9/2008,-12.994386,-57.5955795,-43.714162
1/10/2008,-12.95847675,-57.73801,-43.7557545
1/11/2008,-12.97314525,-57.8770115,-43.8257315
1/12/2008,-12.95231725,-57.9996935,-43.9023125
1/13/2008,-12.96895425,-58.1764775,-44.0371865
1/14/2008,-13.0154045,-58.3464035,-44.1387865
1/15/2008,-12.985877,-58.4204445,-44.1537725
1/16/2008,-12.939395,-58.4408915,-44.1382785
1/17/2008,-12.963779,-58.574559,-44.261659
1/18/2008,-12.938887,-58.6649195,-44.3193805
1/19/2008,-12.921361,-58.7920465,-44.438951
1/20/2008,-12.90208875,-58.8846295,-44.500673
1/21/2008,-12.898628,-58.933842,-44.491148
1/22/2008,-12.9428875,-59.012836,-44.545631
1/23/2008,-12.9209165,-59.0718275,-44.5895095
1/24/2008,-12.886309,-59.1804125,-44.6847595
1/25/2008,-12.91663025,-59.274583,-44.7370835
1/26/2008,-12.88976975,-59.370595,-44.7789935
1/27/2008,-12.93548975,-59.4768305,-44.8320795
1/28/2008,-12.9628265,-59.509406,-44.798107
1/29/2008,-13.03385125,-59.5861775,-44.8403345
1/30/2008,-13.05702875,-59.7116535,-44.935013
1/31/2008,-13.1087495,-59.8241755,-44.994576
2/1/2008,-13.146278,-59.9770835,-45.101002
2/2/2008,-13.12941875,-60.067571,-45.1093205
2/3/2008,-13.1816475,-60.1472635,-45.1317995
2/4/2008,-13.272262,-60.226956,-45.1554215
2/5/2008,-13.331698,-60.327667,-45.216191
2/6/2008,-13.37814825,-60.500514,-45.3752585
2/7/2008,-13.41656575,-60.590557,-45.4150095
2/8/2008,-13.50381475,-60.670948,-45.449744
2/9/2008,-13.58953975,-60.8037265,-45.555281
2/10/2008,-13.683107,-60.931298,-45.661834
2/11/2008,-13.74981375,-60.965969,-45.656881
2/12/2008,-13.82315625,-60.9819075,-45.698918
2/13/2008,-13.88538625,-61.011181,-45.794803
2/14/2008,-13.97111125,-61.052964,-45.81398
2/15/2008,-13.98838325,-61.1405305,-45.8845285
2/16/2008,-13.86195475,-61.134371,-45.879766
2/17/2008,-13.81379,-61.1545005,-45.9387575
2/18/2008,-13.92678825,-61.2774365,-46.0903955
2/19/2008,-14.025372,-61.3383965,-46.15561
2/20/2008,-14.06407525,-61.335539,-46.1335755
