parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,j,zone
adj_pkr,log,factor,1,0.1,1.9,swat,1,-1,1,,,
c_factor,log,factor,1,0.1,1.9,swat,1,-1,1,,,
canmx,log,factor,1,0.1,1.9,swat,1,-1,1,,,
ch_k1,log,factor,1,0.1,1.9,swat,1,-1,1,,,
ch_n1,log,factor,1,0.1,1.9,swat,1,-1,1,,,
ch_s2,log,factor,1,0.1,1.9,swat,1,-1,1,,,
cn2,log,factor,1,0.1,1.9,swat,1,-1,1,,,
epco,log,factor,1,0.1,1.9,swat,1,-1,1,,,
esco,log,factor,1,0.1,1.9,swat,1,-1,1,,,
flowmin,log,factor,1,0.1,1.9,swat,1,-1,1,,,
hk0_i:15_j:15_zone:1,log,factor,18,0.42,405,hk,1,0,1,15,15,1
hk0_i:15_j:25_zone:1,log,factor,18,0.42,405,hk,1,0,1,15,25,1
hk0_i:15_j:35_zone:1,log,factor,18,0.42,405,hk,1,0,1,15,35,1
hk0_i:15_j:45_zone:1,log,factor,18,0.42,405,hk,1,0,1,15,45,1
hk0_i:15_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,15,55,1
hk0_i:25_j:15_zone:1,log,factor,18,0.42,405,hk,1,0,1,25,15,1
hk0_i:25_j:25_zone:1,log,factor,18,0.42,405,hk,1,0,1,25,25,1
hk0_i:25_j:35_zone:1,log,factor,18,0.42,405,hk,1,0,1,25,35,1
hk0_i:25_j:45_zone:1,log,factor,18,0.42,405,hk,1,0,1,25,45,1
hk0_i:25_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,25,55,1
hk0_i:25_j:65_zone:1,log,factor,18,0.42,405,hk,1,0,1,25,65,1
hk0_i:35_j:25_zone:1,log,factor,18,0.42,405,hk,1,0,1,35,25,1
hk0_i:35_j:35_zone:1,log,factor,18,0.42,405,hk,1,0,1,35,35,1
hk0_i:35_j:45_zone:1,log,factor,18,0.42,405,hk,1,0,1,35,45,1
hk0_i:35_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,35,55,1
hk0_i:35_j:65_zone:1,log,factor,18,0.42,405,hk,1,0,1,35,65,1
hk0_i:45_j:25_zone:1,log,factor,18,0.42,405,hk,1,0,1,45,25,1
hk0_i:45_j:35_zone:1,log,factor,18,0.42,405,hk,1,0,1,45,35,1
hk0_i:45_j:45_zone:1,log,factor,18,0.42,405,hk,1,0,1,45,45,1
hk0_i:45_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,45,55,1
hk0_i:45_j:65_zone:1,log,factor,18,0.42,405,hk,1,0,1,45,65,1
hk0_i:55_j:45_zone:1,log,factor,18,0.42,405,hk,1,0,1,55,45,1
hk0_i:55_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,55,55,1
hk0_i:55_j:65_zone:1,log,factor,18,0.42,405,hk,1,0,1,55,65,1
hk0_i:5_j:15_zone:1,log,factor,18,0.42,405,hk,1,0,1,5,15,1
hk0_i:5_j:5_zone:1,log,factor,18,0.42,405,hk,1,0,1,5,5,1
hk0_i:65_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,65,55,1
hk0_i:75_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,75,55,1
hk0_i:85_j:45_zone:1,log,factor,18,0.42,405,hk,1,0,1,85,45,1
hk0_i:85_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,85,55,1
hk0_i:95_j:55_zone:1,log,factor,18,0.42,405,hk,1,0,1,95,55,1
hru_slp,log,factor,1,0.1,1.9,swat,1,-1,1,,,
lat_ttime,log,factor,1,0.1,1.9,swat,1,-1,1,,,
ov_n,log,factor,1,0.1,1.9,swat,1,-1,1,,,
percop,log,factor,1,0.1,1.9,swat,1,-1,1,,,
prf,log,factor,1,0.1,1.9,swat,1,-1,1,,,
prf_bsn,log,factor,1,0.1,1.9,swat,1,-1,1,,,
sol_awc,log,factor,1,0.1,1.9,swat,1,-1,1,,,
