time,elapsed_seconds,message
21:09:21,4.37e-05,PEST++ performance logger started
21:09:21,0.0067465,starting to process control file
21:09:21,0.0463155,finished processing control file
21:09:21,0.0260119,starting basic model IO error checking
21:09:21,0.0091607,finished basic model IO error checking
21:09:21,0.0015297,loading parcov
21:09:21,0.016371,beginning iteration 1
21:09:21,0.0005204,commencing to build jacobian parameter sets
21:09:21,0.0052145,jacobian parameter sets built, commencing model runs
22:26:02,4601.12,jacobian runs complete, processing runs
22:26:02,0.0173267,processing jacobian runs complete
22:26:02,5.94e-05,saving jacobian and sen files
22:26:02,0.0501591,commencing calculation of upgrade vector
22:26:02,0.0263218,forming JtQJ matrix
22:26:02,0.0032478,commencing to scale JtQJ matrix- first SVD...
22:26:02,0.0004402,starting REDSVD
22:26:02,0.0027886,retrieving REDSVD components
22:26:02,6.86e-05,triming REDSVD components to 9elements
22:26:02,2.16e-05,done REDSVD
22:26:02,0.0006574,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,4.59e-05,JS
22:26:02,0.0011699,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0025721,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.29e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.65e-05,starting REDSVD
22:26:02,0.0005161,retrieving REDSVD components
22:26:02,3.87e-05,triming REDSVD components to 9elements
22:26:02,1.94e-05,done REDSVD
22:26:02,1.47e-05,SVD factorization complete
22:26:02,0.0015869,commencing linear algebra multiplication to compute ugrade
22:26:02,2.46e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,2.21e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.53e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.002584,linear algebra multiplication to compute ugrade complete
22:26:02,0.0002564,commencing check of parameter bounds and gradients
22:26:02,0.0068288,beginning upgrade vector calculations, lambda = 0.1
22:26:02,0.0001778,commencing calculation of upgrade vector
22:26:02,0.0242462,forming JtQJ matrix
22:26:02,0.0024186,commencing to scale JtQJ matrix- first SVD...
22:26:02,3.57e-05,starting REDSVD
22:26:02,0.0004347,retrieving REDSVD components
22:26:02,3.68e-05,triming REDSVD components to 9elements
22:26:02,1.83e-05,done REDSVD
22:26:02,3.63e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.17e-05,JS
22:26:02,0.0012654,JS.transpose() * q_mat * JS + lambda * S.transpose() * S
22:26:02,0.0026298,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,3.41e-05,commencing SVD factorization of lambda-scaled JtQJ
22:26:02,1.25e-05,starting REDSVD
22:26:02,0.0004335,retrieving REDSVD components
22:26:02,3.09e-05,triming REDSVD components to 9elements
22:26:02,1.84e-05,done REDSVD
22:26:02,1.22e-05,SVD factorization complete
22:26:02,0.0005919,commencing linear algebra multiplication to compute ugrade
22:26:02,1.75e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9Vt info: rows = 9: cols = 44: size = 396: nonzeros = 81
22:26:02,1.4e-05,U info: rows = 44: cols = 9: size = 396: nonzeros = 81
22:26:02,1.42e-05,jac info: rows = 5114: cols = 44: size = 225016: nonzeros = 38767
22:26:02,0.0023843,linear algebra multiplication to compute ugrade complete
22:26:02,0.0003063,commencing check of parameter bounds and gradients
22:26:02,4.98e-05,commencing calculation of upgrade vector
22:26:02,0.0227266,forming JtQJ matrix
22:26:02,0.0025238,commencing to scale JtQJ matrix- first SVD...
22:26:02,4.51e-05,starting REDSVD
22:26:02,0.0004051,retrieving REDSVD components
22:26:02,3.02e-05,triming REDSVD components to 9elements
22:26:02,1.88e-05,done REDSVD
22:26:02,3.25e-05,S info: rows = 44: cols = 44: size = 1936: nonzeros = 9
22:26:02,1.01e-05,JS
