iteration,_is_super,_lambda,_scale_factor,canmx,ch_k2,ch_n2,ch_s2,cn2,epco,esco,flowmin,hk0_i:10_j:10_zone:1,hk0_i:10_j:30_zone:1,hk0_i:10_j:50_zone:1,hk0_i:30_j:30_zone:1,hk0_i:30_j:50_zone:1,hk0_i:50_j:30_zone:1,hk0_i:50_j:50_zone:1,hk0_i:70_j:50_zone:1,hk0_i:90_j:50_zone:1,lat_ttime,ov_n,percop,prf,sol_awc,sol_bd,sol_k,sol_z,ss0_i:10_j:10_zone:1,ss0_i:10_j:30_zone:1,ss0_i:10_j:50_zone:1,ss0_i:30_j:30_zone:1,ss0_i:30_j:50_zone:1,ss0_i:50_j:30_zone:1,ss0_i:50_j:50_zone:1,ss0_i:70_j:50_zone:1,ss0_i:90_j:50_zone:1,surlag,sy0_i:10_j:10_zone:1,sy0_i:10_j:30_zone:1,sy0_i:10_j:50_zone:1,sy0_i:30_j:30_zone:1,sy0_i:30_j:50_zone:1,sy0_i:50_j:30_zone:1,sy0_i:50_j:50_zone:1,sy0_i:70_j:50_zone:1,sy0_i:90_j:50_zone:1
0,0,0.1,1,1,1,0.999997,1.0001,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00457,1,1,1,1,1.1,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,0.1,0.75,1,1,0.999997,1.00007,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00343,1,1,1,1,1.0741,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,1,1,1,1,0.999997,1.0001,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00459,1,1,1,1,1.1,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,1,0.75,1,1,0.999997,1.00007,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00344,1,1,1,1,1.0741,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,10,1,1,1,0.999997,1.0001,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00473,1,1,1,1,1.1,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,10,0.75,1,1,0.999997,1.00007,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00355,1,1,1,1,1.0741,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,100,1,1,1,0.999995,1.00011,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00639,1,1,1,1,1.1,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,100,0.75,1,1,0.999997,1.00008,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.00479,1,1,1,1,1.0741,1,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,1000,1,1,1,0.999959,1.00026,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.05678,1,1,1.00003,1,1.1,1.00002,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
0,0,1000,0.75,1,1,0.999969,1.0002,1,1,1,1,5,1.95,0.5,2.5,6.5,1.5,0.68,2.89,1.65,1,1.04229,1,1,1.00002,1,1.0741,1.00001,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,3.3e-06,1,0.2,0.35,0.45,0.36,0.17,0.08,0.29,0.45,0.16
